states,year,quarter,district,trans_counts,amount,registered_user_counts,level
arunachal-pradesh,2018,1,lower subansiri,1477.0,3650727.893614269,,district_top
arunachal-pradesh,2018,1,namsai,1400.0,2162984.705083958,737.0,district_top
arunachal-pradesh,2018,2,papum pare,25363.0,66520931.20355792,11418.0,district_top
arunachal-pradesh,2018,2,west kameng,10466.0,25521321.34140157,3442.0,district_top
arunachal-pradesh,2018,2,lohit,6962.0,20520618.88189011,1898.0,district_top
arunachal-pradesh,2018,2,east siang,6363.0,15285584.202916931,2646.0,district_top
arunachal-pradesh,2018,2,changlang,6066.0,13294258.50337311,2014.0,district_top
arunachal-pradesh,2018,2,tawang,5447.0,13722374.81135791,2266.0,district_top
arunachal-pradesh,2018,2,longding,4634.0,10271170.16552131,,district_top
arunachal-pradesh,2018,2,namsai,3230.0,6271811.327635023,1276.0,district_top
arunachal-pradesh,2018,2,west siang,2579.0,7610989.567485569,1224.0,district_top
arunachal-pradesh,2018,2,lower siang,2292.0,2179451.657976534,,district_top
arunachal-pradesh,2018,3,papum pare,43282.0,101080479.2917223,16009.0,district_top
arunachal-pradesh,2018,3,west kameng,17026.0,48528147.45054105,4765.0,district_top
arunachal-pradesh,2018,3,lohit,11595.0,32702331.664437763,2612.0,district_top
arunachal-pradesh,2018,3,east siang,10539.0,24885270.773230053,3590.0,district_top
arunachal-pradesh,2018,3,changlang,10162.0,20494174.9497154,2889.0,district_top
arunachal-pradesh,2018,3,tawang,8715.0,25733824.99410926,3112.0,district_top
arunachal-pradesh,2018,3,longding,5288.0,18327334.05075552,,district_top
arunachal-pradesh,2018,3,namsai,5076.0,10698272.7743813,1862.0,district_top
arunachal-pradesh,2018,3,west siang,3337.0,12966152.79251931,1652.0,district_top
arunachal-pradesh,2018,3,tirap,3322.0,7479257.007852319,1226.0,district_top
arunachal-pradesh,2018,4,papum pare,55224.0,154875448.2077814,21342.0,district_top
arunachal-pradesh,2018,4,west kameng,25439.0,89194886.84322134,6492.0,district_top
arunachal-pradesh,2018,4,lohit,14268.0,40510521.94979761,3588.0,district_top
arunachal-pradesh,2018,4,changlang,13950.0,32343047.413952347,4036.0,district_top
arunachal-pradesh,2018,4,east siang,12893.0,34272134.34491677,4813.0,district_top
arunachal-pradesh,2018,4,tawang,11104.0,35921510.894032694,4085.0,district_top
arunachal-pradesh,2018,4,namsai,7244.0,17643523.29373534,2495.0,district_top
arunachal-pradesh,2018,4,longding,6581.0,22545311.85089966,,district_top
arunachal-pradesh,2018,4,tirap,5725.0,10811742.67058608,1684.0,district_top
arunachal-pradesh,2018,4,lower dibang valley,4227.0,10951332.39393786,1827.0,district_top
arunachal-pradesh,2019,1,papum pare,70941.0,188556716.3567257,26298.0,district_top
arunachal-pradesh,2019,1,west kameng,34289.0,101333633.6760416,8115.0,district_top
arunachal-pradesh,2019,1,changlang,17589.0,40239141.669717625,5210.0,district_top
arunachal-pradesh,2019,1,lohit,15896.0,42834776.7780453,4416.0,district_top
arunachal-pradesh,2019,1,east siang,15621.0,39284373.054099694,5899.0,district_top
arunachal-pradesh,2019,1,tawang,13102.0,39489779.13784294,5023.0,district_top
arunachal-pradesh,2019,1,namsai,8600.0,20065516.61635517,3153.0,district_top
arunachal-pradesh,2019,1,longding,7287.0,25349462.05524536,,district_top
arunachal-pradesh,2019,1,tirap,6877.0,14075747.836402498,2082.0,district_top
arunachal-pradesh,2019,1,lower dibang valley,6314.0,13738776.18143886,2314.0,district_top
arunachal-pradesh,2019,2,papum pare,86433.0,246640891.34861863,32800.0,district_top
arunachal-pradesh,2019,2,west kameng,37430.0,122521180.75595032,9782.0,district_top
arunachal-pradesh,2019,2,lohit,18693.0,48893746.8310222,5485.0,district_top
arunachal-pradesh,2019,2,changlang,18631.0,48891048.26477764,6884.0,district_top
arunachal-pradesh,2019,2,east siang,16494.0,46549881.23941852,7319.0,district_top
arunachal-pradesh,2019,2,tawang,15960.0,55915834.5871187,5908.0,district_top
arunachal-pradesh,2019,2,namsai,9637.0,22491356.65721929,3914.0,district_top
arunachal-pradesh,2019,2,west siang,8041.0,24549832.97718149,3393.0,district_top
arunachal-pradesh,2019,2,tirap,6868.0,18633793.43372325,2697.0,district_top
arunachal-pradesh,2019,2,longding,6744.0,23464027.89281261,,district_top
arunachal-pradesh,2019,3,papum pare,117940.0,301518075.7016427,38845.0,district_top
arunachal-pradesh,2019,3,west kameng,53939.0,147186019.8759076,11186.0,district_top
